,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
159,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,163710.0,129071.0,372.6175697912757,7950820.0,14.47,10.6,-46.4,-81.40350877192982,4287475.0,658100.0,775.0,10.55,975.0,10.6,38987.75,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,11446.0,10280.0,881.6466552315609,1209809.0,7.7,372.95,-111.10000000000002,-22.952174362152675,1271525.0,38900.0,75.0,371.35,25.0,372.3,38987.75,2023-03-16 14:00:02
170,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,229784.0,189052.0,464.1363056073849,10360919.0,13.59,17.8,-54.45,-75.36332179930795,3980150.0,1152300.0,1100.0,17.8,50.0,17.85,38987.75,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,17446.0,15560.0,825.0265111346765,2554093.0,10.4,279.35,-141.29999999999995,-33.59087127065255,1941300.0,56875.0,50.0,279.1,50.0,279.95,38987.75,2023-03-16 14:00:02
171,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,196710.0,139412.0,243.3104122307934,10840325.0,13.1,33.7,-60.64999999999999,-64.28192898781133,3190675.0,915600.0,150.0,33.55,375.0,33.65,38987.75,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,46232.0,40571.0,716.6754990284402,4854986.0,10.86,195.6,-148.9,-43.22206095791002,2379700.0,146375.0,25.0,195.05,25.0,195.6,38987.75,2023-03-16 14:00:02
183,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,159345.0,119867.0,303.62986980090176,9418093.0,12.77,62.35,-61.1,-49.49372215471851,2941200.0,691325.0,75.0,62.3,100.0,62.5,38987.75,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,82974.0,70049.0,541.9651837524178,6957105.0,10.8,124.2,-150.15000000000003,-54.72936030617824,3219825.0,186300.0,25.0,124.2,50.0,124.55,38987.75,2023-03-16 14:00:02
186,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,177964.0,70425.0,65.48786951710542,10979417.0,12.66,108.65,-52.04999999999998,-32.38954573739888,3193075.0,738525.0,25.0,108.65,175.0,108.8,38987.75,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,208601.0,156285.0,298.732701276856,13674403.0,10.89,72.25,-141.45,-66.19092185306505,5656725.0,713650.0,150.0,72.25,75.0,72.45,38987.75,2023-03-16 14:00:02
200,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,54923.0,22795.0,70.95057270916335,4500635.0,13.2,176.1,-20.15000000000001,-10.26751592356688,1334825.0,172925.0,125.0,175.7,100.0,176.15,38987.75,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,150190.0,114706.0,323.261188141134,9963575.0,11.01,37.55,-133.25,-78.01522248243559,4265250.0,542025.0,125.0,37.4,375.0,37.55,38987.75,2023-03-16 14:00:02
207,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,55042.0,16903.0,44.31946301685938,2987243.0,14.2,255.75,14.099999999999994,5.8348851644941,946075.0,106400.0,75.0,255.5,75.0,256.2,38987.75,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,176365.0,118512.0,204.8502238431888,10703443.0,11.47,19.0,-112.55,-85.55682250095022,4206925.0,790625.0,1000.0,18.85,1425.0,19.0,38987.75,2023-03-16 14:00:02
215,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,25203.0,-3018.0,-10.694163920484746,1357521.0,15.9,345.5,43.10000000000002,14.25264550264551,936925.0,62625.0,50.0,346.05,25.0,346.6,38987.75,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,158183.0,69878.0,79.13255195062567,8947711.0,12.11,9.75,-84.05,-89.60554371002132,4493425.0,655875.0,1000.0,9.7,50.0,9.75,38987.75,2023-03-16 14:00:02
222,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,21092.0,-2855.0,-11.922161439846327,602595.0,18.09,442.8,67.15000000000003,17.87568215093838,626925.0,38700.0,100.0,441.2,300.0,442.3,38987.75,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,142244.0,65890.0,86.2954134688425,6751531.0,13.0,5.3,-61.7,-92.08955223880596,5669350.0,541175.0,500.0,5.3,3050.0,5.35,38987.75,2023-03-16 14:00:02
228,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,37653.0,-14284.0,-27.50255116776094,743396.0,20.43,541.3,74.44999999999993,15.947306415336818,371775.0,89400.0,25.0,539.75,25.0,541.3,38987.75,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,226160.0,81219.0,56.03590426449383,8405098.0,14.15,3.4,-43.75,-92.78897136797455,7766750.0,982050.0,17250.0,3.35,11625.0,3.45,38987.75,2023-03-16 14:00:02
