,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
161,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,93853.0,59214.0,170.94604347700567,8854391.0,17.12,1.3,-55.7,-97.71929824561404,4016775.0,479000.0,11900.0,1.3,9750.0,1.35,39296.85,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,5718.0,4552.0,390.39451114922815,1272231.0,0.0,713.15,229.1,47.329821299452526,427000.0,28075.0,25.0,713.55,25.0,715.1,39296.85,2023-03-16 14:42:03
172,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,145023.0,104291.0,256.0419326328194,11975236.0,15.61,1.5,-70.75,-97.92387543252596,3462275.0,770300.0,9350.0,1.45,12475.0,1.5,39296.85,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,7802.0,5916.0,313.6797454931071,2680554.0,0.0,614.3,193.65,46.035896826340185,494300.0,30925.0,25.0,613.1,175.0,614.95,39296.85,2023-03-16 14:42:03
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,164719.0,107421.0,187.4777479144124,12951115.0,14.18,1.75,-92.6,-98.14520402755696,2678525.0,755050.0,1600.0,1.75,10800.0,1.8,39296.85,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,21465.0,15804.0,279.1732909379968,5163690.0,0.0,513.1,168.60000000000002,48.94049346879536,1026450.0,43300.0,25.0,513.7,175.0,515.25,39296.85,2023-03-16 14:42:03
185,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,148236.0,108758.0,275.4901464106591,11743363.0,12.85,2.7,-120.75,-97.81287970838396,2891050.0,680500.0,3300.0,2.65,8800.0,2.7,39296.85,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,28333.0,15408.0,119.21083172147002,7572175.0,0.0,413.6,139.25,50.75633315108438,1987075.0,54125.0,25.0,414.4,100.0,415.95,39296.85,2023-03-16 14:42:03
188,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,275764.0,168225.0,156.43162015640837,14511094.0,12.0,4.75,-155.95,-97.04418170504044,3719950.0,1058050.0,6900.0,4.75,2450.0,4.8,39296.85,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,95889.0,43573.0,83.28809542013916,15617544.0,0.0,317.95,104.25,48.783341132428646,3429950.0,158975.0,50.0,317.3,225.0,318.0,39296.85,2023-03-16 14:42:03
202,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,139409.0,107281.0,333.91745517928285,6880717.0,11.34,9.95,-186.3,-94.92993630573248,2297400.0,561225.0,25.0,9.9,175.0,9.95,39296.85,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,48117.0,12633.0,35.60196144741292,12069718.0,7.62,223.15,52.35,30.649882903981258,3777925.0,99050.0,75.0,222.6,25.0,223.2,39296.85,2023-03-16 14:42:03
209,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,160905.0,122766.0,321.89097773932195,5113867.0,11.01,25.85,-215.8,-89.30271053176081,1803425.0,695500.0,175.0,25.85,25.0,26.0,39296.85,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,99149.0,41296.0,71.3809136950547,14070247.0,8.78,138.9,7.349999999999994,5.587229190421888,4578325.0,360975.0,125.0,138.8,100.0,139.15,39296.85,2023-03-16 14:42:03
217,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,95831.0,67610.0,239.5733673505545,2718722.0,11.0,60.65,-241.75,-79.94378306878306,1709175.0,344950.0,75.0,60.6,50.0,60.75,39296.85,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,132297.0,43992.0,49.818243587565824,12788013.0,9.38,73.7,-20.099999999999994,-21.428571428571423,5388100.0,485325.0,225.0,73.45,100.0,73.7,39296.85,2023-03-16 14:42:03
224,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,42399.0,18452.0,77.05349313066355,1213727.0,11.12,119.9,-255.75,-68.08199121522694,971675.0,127975.0,25.0,119.9,150.0,120.2,39296.85,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,167004.0,90650.0,118.72331508499882,10180415.0,9.53,32.9,-34.1,-50.8955223880597,6519700.0,567400.0,700.0,32.8,250.0,32.9,39296.85,2023-03-16 14:42:03
230,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,56613.0,4676.0,9.003215434083602,1163881.0,11.93,201.15,-265.70000000000005,-56.91335546749492,863025.0,107450.0,25.0,200.15,25.0,200.6,39296.85,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,255064.0,110123.0,75.97781166129667,12241205.0,9.8,13.9,-33.25,-70.51961823966066,7896350.0,957475.0,75.0,13.8,2250.0,13.9,39296.85,2023-03-16 14:42:03
