,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
156,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,149646.0,115007.0,332.0159357949133,4268387.0,19.11,35.6,-21.4,-37.54385964912281,4124950.0,635525.0,525.0,35.6,100.0,35.75,38930.3,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,9430.0,8264.0,708.7478559176673,808852.0,18.16,378.35,-105.7,-21.83658712942877,1495850.0,39275.0,25.0,378.45,25.0,379.3,38930.3,2023-03-16 11:56:02
167,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,196539.0,155807.0,382.5174310124718,5339501.0,18.04,52.15,-20.1,-27.82006920415225,3647825.0,863725.0,25.0,52.1,75.0,52.25,38930.3,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,14423.0,12537.0,664.7401908801696,1730743.0,16.94,293.2,-127.45,-30.29834779507905,1833850.0,53950.0,25.0,291.25,50.0,292.1,38930.3,2023-03-16 11:56:02
168,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,169258.0,111960.0,195.3994903836085,5257810.0,17.47,76.8,-17.549999999999997,-18.60095389507154,2744825.0,762500.0,50.0,76.95,375.0,77.15,38930.3,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,27962.0,22301.0,393.9409998233528,2661799.0,16.69,215.55,-128.95,-37.4310595065312,2293625.0,96025.0,25.0,215.35,25.0,215.95,38930.3,2023-03-16 11:56:02
180,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,141743.0,102265.0,259.04301129743146,4571456.0,16.64,112.95,-10.5,-8.50546780072904,2671050.0,569725.0,600.0,112.8,100.0,113.3,38930.3,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,40293.0,27368.0,211.74468085106383,3364555.0,15.79,152.2,-122.15000000000003,-44.523418990340815,2843625.0,135550.0,50.0,151.65,225.0,152.05,38930.3,2023-03-16 11:56:02
183,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,196904.0,89365.0,83.10008462046328,6229877.0,16.47,160.65,-0.0499999999999829,-0.0311138767890373,3030950.0,768650.0,100.0,160.65,100.0,161.05,38930.3,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,144689.0,92373.0,176.56739811912226,6841067.0,15.63,100.15,-113.54999999999998,-53.13523631258773,4348375.0,515775.0,75.0,99.85,50.0,100.1,38930.3,2023-03-16 11:56:02
197,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,80970.0,48842.0,152.02315737051794,2814514.0,15.96,224.0,27.75,14.140127388535031,1900975.0,243300.0,25.0,223.65,50.0,224.25,38930.3,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,105939.0,70455.0,198.5542779844437,4850973.0,15.14,62.9,-107.9,-63.17330210772833,3297200.0,368325.0,100.0,62.75,75.0,62.9,38930.3,2023-03-16 11:56:02
204,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,73778.0,35639.0,93.4450300217625,2114830.0,16.39,298.25,56.6,23.42230498655079,988375.0,173725.0,25.0,297.55,75.0,298.25,38930.3,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,171729.0,113876.0,196.8368105370508,5621591.0,15.24,38.15,-93.4,-70.9996199163816,3818175.0,600400.0,275.0,38.0,125.0,38.1,38930.3,2023-03-16 11:56:02
212,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,38702.0,10481.0,37.13900995712413,957044.0,16.34,383.6,81.20000000000005,26.85185185185188,1368275.0,74525.0,75.0,383.55,25.0,384.85,38930.3,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,182162.0,93857.0,106.28729969990374,5141719.0,15.41,23.0,-70.8,-75.47974413646055,4546400.0,500675.0,150.0,22.95,525.0,23.1,38930.3,2023-03-16 11:56:02
219,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,22599.0,-1348.0,-5.629097590512382,444203.0,18.15,470.65,95.0,25.2894982031146,718700.0,39175.0,50.0,474.05,50.0,475.35,38930.3,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,124113.0,47759.0,62.54944076276292,4113487.0,16.21,14.6,-52.4,-78.2089552238806,5614075.0,488725.0,25.0,14.5,1075.0,14.55,38930.3,2023-03-16 11:56:02
225,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,41058.0,-10879.0,-20.94653137454993,530323.0,18.42,569.9,103.04999999999995,22.07347113633929,390000.0,57100.0,25.0,570.35,25.0,571.5,38930.3,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,236556.0,91615.0,63.20847793240008,5480621.0,17.22,10.05,-37.1,-78.6850477200424,7806825.0,893425.0,5225.0,10.05,2900.0,10.15,38930.3,2023-03-16 11:56:02
232,39600,16-Mar-2023,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39600.00,14242.0,-6418.0,-31.0648596321394,115984.0,20.19,659.3,111.94999999999992,20.453092171371136,304025.0,24050.0,25.0,666.15,300.0,668.0,38930.3,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39600.00,117838.0,21516.0,22.33757604700899,2980227.0,18.25,7.15,-26.700000000000003,-78.87740029542098,3470950.0,464750.0,3550.0,7.1,4325.0,7.15,38930.3,2023-03-16 11:56:02
239,39700,16-Mar-2023,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39700.00,8384.0,-3375.0,-28.701420188791563,59038.0,21.34,760.5,113.0,17.45173745173745,194550.0,19100.0,25.0,765.8,25.0,768.1,38930.3,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39700.00,122655.0,25808.0,26.648218323747766,2446261.0,19.29,5.3,-19.9,-78.96825396825396,2619800.0,420525.0,675.0,5.25,10200.0,5.3,38930.3,2023-03-16 11:56:02
