,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
159,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,141187.0,106548.0,307.5954848581079,3318455.0,21.33,16.3,-40.7,-71.40350877192982,3957700.0,631500.0,50.0,16.35,1475.0,16.4,39165.1,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,9880.0,8714.0,747.3413379073756,757206.0,24.48,612.1,128.05,26.453878731536,1554475.0,30225.0,125.0,613.25,50.0,614.95,39165.1,2023-03-16 11:11:02
162,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,171934.0,131202.0,322.1103800451733,4085701.0,20.14,22.35,-49.9,-69.06574394463668,3515700.0,848000.0,25.0,22.4,1150.0,22.5,39165.1,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,16956.0,15070.0,799.0455991516437,1635283.0,22.66,517.2,96.55000000000008,22.95257339831216,1924750.0,45150.0,25.0,516.6,100.0,518.0,39165.1,2023-03-16 11:11:02
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,165822.0,108524.0,189.40277147544413,3906926.0,19.28,31.9,-62.45,-66.1897191308956,2569150.0,797600.0,450.0,31.9,275.0,32.0,39165.1,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,31803.0,26142.0,461.7912029676736,2441257.0,21.46,429.75,85.25,24.74600870827286,2332150.0,77950.0,25.0,429.15,25.0,430.55,39165.1,2023-03-16 11:11:02
174,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,128281.0,88803.0,224.94300623131872,3144305.0,18.3,45.3,-78.15,-63.30498177399757,2375975.0,533525.0,275.0,45.25,850.0,45.4,39165.1,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,48982.0,36057.0,278.9709864603482,2948869.0,20.28,339.6,65.25,23.78348824494259,2801075.0,80600.0,50.0,339.55,50.0,340.65,39165.1,2023-03-16 11:11:02
186,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,202930.0,95391.0,88.70363310054957,3958524.0,17.85,67.1,-93.6,-58.2451773490977,2496325.0,784650.0,25.0,67.1,325.0,67.2,39165.1,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,130710.0,78394.0,149.84708311032955,5572345.0,19.35,263.65,49.94999999999999,23.37388862891904,4281625.0,320950.0,400.0,263.85,50.0,264.6,39165.1,2023-03-16 11:11:02
196,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,95094.0,62966.0,195.9848107569721,1556393.0,17.1,96.6,-99.65,-50.77707006369428,1868150.0,324450.0,75.0,96.45,25.0,96.75,39165.1,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,89723.0,54239.0,152.8548078006989,3514856.0,18.73,192.1,21.299999999999983,12.470725995316148,3284275.0,265500.0,25.0,192.1,75.0,192.6,39165.1,2023-03-16 11:11:02
203,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,74193.0,36054.0,94.53315503814991,1065166.0,16.92,140.2,-101.45000000000002,-41.98220566935652,852200.0,219275.0,100.0,139.9,75.0,140.25,39165.1,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,120613.0,62760.0,108.4818419096676,3814788.0,18.37,136.5,4.949999999999989,3.762827822120857,3813325.0,443925.0,75.0,136.45,225.0,136.85,39165.1,2023-03-16 11:11:02
210,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,34392.0,6171.0,21.866695014351016,502537.0,16.33,193.5,-108.89999999999998,-36.01190476190476,1215150.0,126550.0,25.0,193.15,50.0,193.7,39165.1,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,139064.0,50759.0,57.48145631617689,3331900.0,18.13,89.7,-4.099999999999994,-4.371002132196156,4292225.0,404400.0,75.0,89.7,150.0,90.05,39165.1,2023-03-16 11:11:02
218,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,25277.0,1330.0,5.553931598947676,228709.0,16.56,263.15,-112.5,-29.94808997737256,643125.0,55525.0,25.0,263.3,25.0,263.95,39165.1,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,125152.0,48798.0,63.910207716688056,2686226.0,18.19,59.2,-7.799999999999997,-11.641791044776117,5528650.0,316250.0,75.0,59.1,700.0,59.25,39165.1,2023-03-16 11:11:02
225,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,43463.0,-8474.0,-16.315921212237903,303999.0,15.48,339.35,-127.5,-27.310699368105382,177250.0,79050.0,25.0,339.25,200.0,340.2,39165.1,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,218163.0,73222.0,50.51848683257325,3677062.0,18.48,37.8,-9.35,-19.83032873807,8068750.0,794750.0,75.0,37.65,25.0,37.7,39165.1,2023-03-16 11:11:02
