,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
159,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,154758.0,120119.0,346.77386760587774,7766118.0,14.47,15.55,-41.45,-72.71929824561404,4322050.0,657875.0,25.0,15.55,800.0,15.6,38917.45,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,10609.0,9443.0,809.8627787307032,1196759.0,7.7,338.95,-145.10000000000002,-29.97624212374755,1279100.0,39800.0,75.0,336.35,25.0,337.15,38917.45,2023-03-16 13:55:01
170,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,224045.0,183313.0,450.0466463714033,10093914.0,13.59,26.75,-45.5,-62.9757785467128,3962575.0,1124250.0,425.0,26.75,1675.0,26.85,38917.45,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,16167.0,14281.0,757.2110286320254,2527249.0,10.4,248.9,-171.74999999999997,-40.82966837037917,1944550.0,58875.0,50.0,248.9,50.0,249.6,38917.45,2023-03-16 13:55:01
171,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,192736.0,135438.0,236.37474257391185,10530375.0,13.1,48.75,-45.6,-48.33068362480127,3263875.0,870850.0,225.0,48.8,100.0,48.95,38917.45,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,39333.0,33672.0,594.8065712771595,4778863.0,10.86,166.05,-178.45,-51.79970972423802,2391300.0,138850.0,100.0,165.7,50.0,166.25,38917.45,2023-03-16 13:55:01
183,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,153158.0,113680.0,287.9578499417397,9141715.0,12.77,83.2,-40.25,-32.60429323612799,3005425.0,666925.0,75.0,83.05,25.0,83.3,38917.45,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,67907.0,54982.0,425.3926499032882,6796523.0,10.8,105.35,-169.00000000000003,-61.60014579916167,3223050.0,225850.0,75.0,105.0,75.0,105.25,38917.45,2023-03-16 13:55:01
186,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,186297.0,78758.0,73.23668622546239,10714722.0,12.66,138.45,-22.25,-13.845675171126324,3224575.0,680050.0,50.0,138.5,100.0,138.9,38917.45,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,182859.0,130543.0,249.52786910314245,13320151.0,10.89,56.85,-156.85,-73.39728591483387,5573100.0,780125.0,50.0,56.75,25.0,56.95,38917.45,2023-03-16 13:55:01
200,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,57929.0,25801.0,80.30689741035856,4413231.0,13.2,210.3,14.050000000000011,7.159235668789815,1402125.0,166350.0,125.0,210.1,25.0,210.65,38917.45,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,142649.0,107165.0,302.0093563296133,9649407.0,11.01,29.15,-141.65,-82.93325526932084,4242100.0,532975.0,175.0,29.0,675.0,29.1,38917.45,2023-03-16 13:55:01
207,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,57465.0,19326.0,50.67253991976717,2949501.0,14.2,291.4,49.74999999999997,20.58762673287812,953975.0,110675.0,100.0,290.85,50.0,291.7,38917.45,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,170593.0,112740.0,194.8732131436572,10438744.0,11.47,15.25,-116.3,-88.40744963892057,4169650.0,772300.0,450.0,15.2,100.0,15.25,38917.45,2023-03-16 13:55:01
215,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,25249.0,-2972.0,-10.53116473548067,1340367.0,15.9,386.6,84.20000000000005,27.84391534391536,935875.0,61925.0,50.0,385.45,75.0,386.4,38917.45,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,155594.0,67289.0,76.20066813883699,8803012.0,12.11,8.35,-85.45,-91.09808102345416,4492225.0,582375.0,1750.0,8.3,75.0,8.35,38917.45,2023-03-16 13:55:01
222,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,21324.0,-2623.0,-10.95335532634568,596368.0,18.09,485.0,109.35000000000002,29.109543458006133,695350.0,36725.0,25.0,485.85,350.0,487.1,38917.45,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,143854.0,67500.0,88.40401288734054,6620533.0,13.0,4.7,-62.3,-92.98507462686568,5654775.0,523525.0,1625.0,4.7,2025.0,4.75,38917.45,2023-03-16 13:55:01
228,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,37757.0,-14180.0,-27.30230856614745,737279.0,20.43,584.1,117.25,25.115133340473385,373725.0,78725.0,50.0,580.1,75.0,581.7,38917.45,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,228674.0,83733.0,57.77040312954927,8293367.0,14.15,3.35,-43.8,-92.8950159066808,7840900.0,969575.0,3950.0,3.3,18250.0,3.35,38917.45,2023-03-16 13:55:01
236,39600,16-Mar-2023,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39600.00,12977.0,-7683.0,-37.18780251694095,146187.0,22.46,683.75,136.39999999999998,24.92006942541335,287775.0,23200.0,50.0,677.1,75.0,679.65,38917.45,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39600.00,115366.0,19044.0,19.77118415315297,4286682.0,15.47,2.35,-31.5,-93.0576070901034,3403875.0,450075.0,7575.0,2.35,7025.0,2.4,38917.45,2023-03-16 13:55:01
240,39700,16-Mar-2023,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39700.00,7626.0,-4133.0,-35.14754656008164,77276.0,23.93,782.05,134.54999999999995,20.77992277992277,186125.0,20350.0,75.0,779.75,50.0,781.6,38917.45,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39700.00,100405.0,3558.0,3.6738360506778736,3375614.0,16.66,1.9,-23.3,-92.46031746031748,2560325.0,347375.0,9150.0,1.85,7150.0,1.9,38917.45,2023-03-16 13:55:01
250,39800,16-Mar-2023,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39800.00,9107.0,-4128.0,-31.19002644503211,36659.0,27.84,890.0,141.10000000000002,18.84096675123515,96325.0,17650.0,25.0,882.4,100.0,885.25,38917.45,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39800.00,111313.0,14547.0,15.03317280863113,2717291.0,18.14,1.6,-17.75,-91.7312661498708,2856250.0,364550.0,8500.0,1.6,26550.0,1.65,38917.45,2023-03-16 13:55:01
253,39900,16-Mar-2023,39900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39900.00,10218.0,-1784.0,-14.864189301783036,21494.0,29.79,980.0,130.79999999999995,15.40273198304286,113275.0,11750.0,25.0,978.3,125.0,981.2,38917.45,39900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39900.00,66192.0,-3353.0,-4.8213387015601405,1981305.0,19.65,1.45,-14.15,-90.7051282051282,1782575.0,200250.0,21450.0,1.4,3800.0,1.45,38917.45,2023-03-16 13:55:01
