,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
0,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,58543.0,30316.0,107.40071562688206,2693995.0,21.11,138.5,4.099999999999994,3.0505952380952337,476175.0,227400.0,225.0,138.25,25.0,138.6,39172.6,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,19072.0,14099.0,283.5109591795697,303514.0,24.82,240.85,-299.15,-55.39814814814814,113550.0,88600.0,50.0,240.6,400.0,240.9,39172.6,2023-03-15 14:59:48
1,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,102416.0,61381.0,149.5820640916291,3661640.0,20.28,184.0,21.15000000000001,12.987411728584592,692150.0,314100.0,125.0,183.65,200.0,184.0,39172.6,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,63351.0,53598.0,549.5539833897262,910047.0,23.92,184.0,-285.2,-60.78431372549019,190300.0,310575.0,125.0,183.65,125.0,184.0,39172.6,2023-03-15 14:59:48
2,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,79709.0,36219.0,83.28121407220051,4507723.0,19.79,232.95,35.44999999999999,17.94936708860759,666325.0,232175.0,50.0,232.45,25.0,232.95,39172.6,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,95266.0,81669.0,600.639847025079,1744188.0,23.38,134.0,-267.5,-66.62515566625156,216100.0,357200.0,250.0,133.75,50.0,134.05,39172.6,2023-03-15 14:59:48
3,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,52795.0,10647.0,25.26098510012337,4463293.0,19.05,299.55,62.35000000000002,26.28583473861721,576275.0,134675.0,25.0,299.3,100.0,299.75,39172.6,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,95924.0,66253.0,223.29210340062687,2247170.0,23.02,99.0,-238.8,-70.69271758436945,255425.0,402550.0,375.0,98.95,250.0,99.15,39172.6,2023-03-15 14:59:48
4,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,117799.0,10885.0,10.18108012047066,6682270.0,18.29,372.8,91.45,32.50399857828327,1053225.0,164575.0,125.0,372.2,75.0,372.8,39172.6,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,223407.0,121794.0,119.86064775176403,4498797.0,22.88,69.2,-216.0,-75.73632538569424,450125.0,762675.0,25.0,69.05,125.0,69.2,39172.6,2023-03-15 14:59:48
5,39600,16-Mar-2023,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39600.00,34016.0,9194.0,37.03972282652486,4372705.0,17.07,445.75,116.55,35.40400972053463,2071150.0,51875.0,50.0,446.5,25.0,447.35,39172.6,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39600.00,124417.0,79731.0,178.4250100702681,3652029.0,22.94,50.1,-186.8,-78.85183621781343,356125.0,530475.0,425.0,50.05,50.0,50.2,39172.6,2023-03-15 14:59:48
6,39700,16-Mar-2023,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39700.00,23657.0,2137.0,9.930297397769516,4180381.0,15.44,537.8,151.04999999999995,39.05623787976728,943525.0,42350.0,25.0,537.55,100.0,538.65,39172.6,39700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39700.00,132529.0,99786.0,304.7552148550835,3994893.0,23.33,35.4,-157.95,-81.6912335143522,240975.0,622300.0,375.0,35.35,25.0,35.4,39172.6,2023-03-15 14:59:48
7,39800,16-Mar-2023,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39800.00,19808.0,4375.0,28.34834445668373,3185387.0,0.0,622.45,172.20000000000005,38.24541921154915,586825.0,47150.0,25.0,621.1,100.0,622.65,39172.6,39800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39800.00,155250.0,98746.0,174.75930907546368,4127408.0,23.77,25.95,-129.9,-83.34937439846006,270700.0,684675.0,50.0,25.95,300.0,26.0,39172.6,2023-03-15 14:59:48
8,39900,16-Mar-2023,39900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39900.00,16024.0,7566.0,89.45377157720502,1701775.0,0.0,721.05,202.7,39.1048519340214,358100.0,26800.0,75.0,720.8,125.0,722.7,39172.6,39900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39900.00,93787.0,63049.0,205.11744420586896,3031806.0,24.59,19.25,-106.4,-84.67966573816156,199300.0,473075.0,1150.0,19.25,500.0,19.3,39172.6,2023-03-15 14:59:48
