,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
159,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,156846.0,122207.0,352.801755246976,6846017.0,14.72,15.35,-41.65,-73.07017543859648,4296050.0,771550.0,850.0,15.3,125.0,15.4,38956.15,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,13436.0,12270.0,1052.3156089193826,1125233.0,15.86,406.75,-77.30000000000001,-15.969424646214236,1489750.0,40400.0,125.0,405.75,100.0,406.9,38956.15,2023-03-16 13:25:02
170,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,214390.0,173658.0,426.34292448197976,8779147.0,13.82,24.3,-47.95,-66.36678200692042,3741425.0,1154350.0,625.0,24.15,2550.0,24.3,38956.15,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,19391.0,17505.0,928.1548250265112,2396510.0,14.54,312.15,-108.5,-25.793414953048853,2072550.0,58525.0,50.0,312.15,50.0,312.9,38981.45,2023-03-16 13:25:02
171,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,182853.0,125555.0,219.1263220356732,9023692.0,13.28,40.8,-53.55,-56.75675675675676,3002350.0,963725.0,350.0,40.75,625.0,40.9,38956.15,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,52086.0,46425.0,820.084790673026,4428967.0,13.87,231.35,-113.15,-32.84470246734398,2474950.0,151275.0,50.0,231.35,25.0,231.95,38956.15,2023-03-16 13:25:02
183,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,147928.0,108450.0,274.70996504382185,7513203.0,12.76,68.8,-54.650000000000006,-44.268934791413535,2658000.0,663550.0,75.0,68.55,175.0,68.65,38981.45,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,96298.0,83373.0,645.0522243713733,6100030.0,13.52,158.4,-115.95000000000002,-42.26353198469109,3205825.0,270025.0,100.0,157.65,25.0,158.05,38981.45,2023-03-16 13:25:02
186,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,142433.0,34894.0,32.44776313709445,8886733.0,12.77,111.45,-49.24999999999999,-30.64716863721219,2907975.0,703100.0,100.0,111.5,25.0,111.75,38956.15,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,234450.0,182134.0,348.1420597905039,11296856.0,13.3,97.55,-116.15,-54.351895180159104,5621725.0,722150.0,375.0,97.55,50.0,97.9,38956.15,2023-03-16 13:25:02
200,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,48302.0,16174.0,50.34238047808765,3713996.0,12.5,171.95,-24.30000000000001,-12.382165605095548,1314625.0,175275.0,425.0,171.9,25.0,172.55,38981.45,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,152969.0,117485.0,331.0928869349566,7719045.0,13.48,59.3,-111.5,-65.28103044496487,4035975.0,456475.0,175.0,59.2,175.0,59.4,38956.15,2023-03-16 13:25:02
207,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,49960.0,11821.0,30.994520045098195,2632759.0,12.84,245.7,4.049999999999983,1.675977653631278,919375.0,130875.0,25.0,245.75,25.0,246.35,38981.45,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,181401.0,123548.0,213.5550446822118,8442842.0,13.71,33.6,-97.95000000000002,-74.45838084378565,4133050.0,727525.0,125.0,33.5,600.0,33.6,38981.45,2023-03-16 13:25:02
215,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,29775.0,1554.0,5.506537684702881,1187836.0,12.26,330.3,27.90000000000004,9.226190476190489,938625.0,70125.0,50.0,331.15,75.0,331.85,38956.15,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,149437.0,61132.0,69.22824302134647,7241612.0,14.39,18.6,-75.19999999999999,-80.17057569296374,4465750.0,517425.0,575.0,18.6,50.0,18.65,38956.15,2023-03-16 13:25:02
222,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,20335.0,-3612.0,-15.083308973984217,532055.0,15.02,420.9,45.25,12.04578730200985,695650.0,35700.0,25.0,423.5,350.0,424.65,38956.15,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,135344.0,58990.0,77.25855881813658,5551792.0,15.12,10.85,-56.15,-83.80597014925372,5630400.0,463725.0,675.0,10.75,1050.0,10.85,38956.15,2023-03-16 13:25:02
228,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,40138.0,-11799.0,-22.717908234976992,667646.0,12.08,518.35,51.5,11.03138052907786,365925.0,79150.0,25.0,519.35,25.0,520.65,38956.15,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,227942.0,83001.0,57.26537004712262,7257567.0,16.09,7.15,-40.0,-84.83563096500531,7766375.0,906125.0,6075.0,7.05,2200.0,7.15,38956.15,2023-03-16 13:25:02
