,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
159,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,132757.0,98118.0,283.2587545829845,3464576.0,20.85,17.3,-39.7,-69.64912280701755,4048525.0,585475.0,25.0,17.25,3275.0,17.3,39225.5,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,8809.0,7643.0,655.4888507718697,765567.0,23.92,606.7,122.65000000000003,25.33829149881211,1545725.0,30375.0,50.0,605.1,25.0,606.85,39225.5,2023-03-16 11:16:03
162,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,169267.0,128535.0,315.5627025434548,4270552.0,19.75,23.7,-48.55,-67.19723183391004,3527300.0,803325.0,625.0,23.55,2875.0,23.7,39225.5,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,14549.0,12663.0,671.4209968186639,1651310.0,22.09,513.1,92.45000000000005,21.97789135861169,1908550.0,42900.0,125.0,511.6,50.0,513.15,39225.5,2023-03-16 11:16:03
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,157974.0,100676.0,175.70595832315263,4114043.0,18.83,33.5,-60.85,-64.49390567037626,2594825.0,712575.0,75.0,33.45,75.0,33.55,39225.5,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,25189.0,19528.0,344.9567214273097,2472595.0,21.3,422.95,78.44999999999999,22.772133526850507,2274125.0,64150.0,50.0,422.1,50.0,422.75,39225.5,2023-03-16 11:16:03
174,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,126005.0,86527.0,219.1777698971579,3320739.0,17.85,47.9,-75.55000000000001,-61.19886593762658,2394150.0,525975.0,75.0,47.75,50.0,47.9,39225.5,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,35672.0,22747.0,175.99226305609284,3006466.0,19.37,335.9,61.54999999999996,22.434845999635485,2742800.0,64050.0,50.0,335.85,200.0,336.65,39225.5,2023-03-16 11:16:03
186,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,211513.0,103974.0,96.68492360910923,4271776.0,17.24,69.75,-90.95,-56.59614187927815,2715275.0,776100.0,75.0,69.8,100.0,69.95,39225.5,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,105294.0,52978.0,101.2653872620231,5757452.0,18.84,258.2,44.5,20.82358446420216,4194900.0,281400.0,25.0,258.25,50.0,258.75,39225.5,2023-03-16 11:16:03
196,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,101926.0,69798.0,217.249750996016,1749885.0,16.5,100.85,-95.4,-48.61146496815287,1927400.0,354325.0,25.0,100.65,100.0,100.85,39225.5,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,65307.0,29823.0,84.04633074061549,3707613.0,17.83,189.3,18.5,10.831381733021075,3251625.0,223850.0,125.0,189.05,225.0,189.6,39225.5,2023-03-16 11:16:03
203,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,93014.0,54875.0,143.88159102231313,1282604.0,16.2,142.8,-98.85,-40.9062693978895,977850.0,239875.0,50.0,142.7,50.0,143.05,39225.5,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,108189.0,50336.0,87.00672393825731,4162547.0,17.58,131.35,-0.200000000000017,-0.1520334473584318,3732350.0,440350.0,575.0,131.25,25.0,131.7,39225.5,2023-03-16 11:16:03
210,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,43201.0,14980.0,53.08103894263137,601032.0,15.61,199.8,-102.59999999999997,-33.928571428571416,1347350.0,122100.0,200.0,198.75,75.0,199.3,39225.5,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,128771.0,40466.0,45.8252647075477,3700668.0,17.05,87.35,-6.450000000000003,-6.876332622601282,4263025.0,417525.0,25.0,87.35,300.0,87.6,39225.5,2023-03-16 11:16:03
218,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,26940.0,2993.0,12.4984340418424,271017.0,15.61,267.0,-108.64999999999998,-28.9231997870358,1019425.0,52525.0,125.0,266.25,25.0,266.95,39225.5,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,124034.0,47680.0,62.44597532545774,2998530.0,17.24,55.8,-11.200000000000005,-16.716417910447763,5497450.0,366575.0,250.0,55.8,125.0,56.05,39225.5,2023-03-16 11:16:03
225,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,46597.0,-5340.0,-10.28168742900052,357064.0,14.94,346.1,-120.75,-25.86483881332334,415075.0,71800.0,25.0,345.8,25.0,346.05,39225.5,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,211035.0,66094.0,45.60062370205808,4097716.0,17.48,34.9,-12.25,-25.980911983032872,8053900.0,772375.0,100.0,34.9,125.0,35.0,39225.5,2023-03-16 11:16:03
