,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
161,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,111226.0,76587.0,221.100493663212,8708910.0,15.46,2.55,-54.45,-95.5263157894737,4043100.0,543525.0,7350.0,2.55,4400.0,2.6,39355.3,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,6603.0,5437.0,466.295025728988,1264837.0,0.0,707.75,223.7,46.21423406672864,929350.0,24625.0,125.0,704.75,125.0,707.0,39355.3,2023-03-16 14:29:03
172,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,164237.0,123505.0,303.2136894824708,11751333.0,14.32,3.35,-68.9,-95.36332179930795,3721950.0,866475.0,11175.0,3.3,1425.0,3.35,39355.3,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,9236.0,7350.0,389.7136797454931,2668064.0,0.0,610.8,190.15,45.20385118269345,1374075.0,29700.0,25.0,606.3,75.0,608.0,39355.3,2023-03-16 14:29:03
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,182817.0,125519.0,219.06349261754332,12594806.0,13.34,4.65,-89.69999999999999,-95.07154213036564,2887225.0,853725.0,2475.0,4.6,7400.0,4.65,39355.3,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,24788.0,19127.0,337.873167284932,5125562.0,0.0,510.35,165.85000000000002,48.14223512336721,1943625.0,52350.0,25.0,508.6,25.0,510.3,39355.3,2023-03-16 14:29:03
185,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,166938.0,127460.0,322.86336693854804,11265661.0,12.6,7.2,-116.25,-94.16767922235722,2890850.0,701600.0,425.0,7.2,1675.0,7.25,39355.3,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,34258.0,21333.0,165.0522243713733,7514102.0,0.0,411.1,136.75,49.84508839074175,2566625.0,42925.0,125.0,411.55,25.0,412.4,39355.3,2023-03-16 14:29:03
188,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,267411.0,159872.0,148.66420554403518,13519796.0,12.25,12.8,-147.89999999999998,-92.03484754200372,3451100.0,1137000.0,1075.0,12.8,2500.0,12.9,39355.3,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,116307.0,63991.0,122.31630858628336,15381403.0,0.0,328.8,115.10000000000002,53.8605521759476,4308475.0,161625.0,25.0,327.75,50.0,328.5,39355.3,2023-03-16 14:29:03
202,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,117114.0,84986.0,264.52315737051794,5963817.0,12.21,23.1,-173.15,-88.22929936305732,2051600.0,358450.0,250.0,22.95,25.0,23.05,39355.3,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,64902.0,29418.0,82.90497125464998,11817009.0,8.0,238.85,68.04999999999998,39.84192037470724,4053600.0,113550.0,450.0,238.1,200.0,238.95,39308.65,2023-03-16 14:29:03
209,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,141518.0,103379.0,271.0584965520858,4208266.0,12.59,47.15,-194.5,-80.48830953858887,1292275.0,410700.0,75.0,46.95,25.0,47.1,39355.3,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,119138.0,61285.0,105.9322766321539,13435547.0,8.88,151.05,19.5,14.823261117445838,4290875.0,270425.0,450.0,150.9,25.0,151.4,39308.65,2023-03-16 14:29:03
217,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,59453.0,31232.0,110.66935969667978,1930040.0,13.45,87.5,-214.9,-71.06481481481481,1257725.0,237125.0,50.0,87.2,100.0,87.4,39355.3,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,154130.0,65825.0,74.54277787214767,11642492.0,9.52,89.8,-4.0,-4.264392324093817,4940800.0,325000.0,525.0,89.75,400.0,89.8,39355.3,2023-03-16 14:29:03
224,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,30507.0,6560.0,27.39382803691485,850139.0,14.8,136.25,-239.4,-63.7295354718488,771700.0,90225.0,75.0,136.4,50.0,136.7,39355.3,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,161302.0,84948.0,111.25546795190822,8823667.0,9.98,50.6,-16.4,-24.477611940298505,6052400.0,300275.0,50.0,50.75,475.0,50.95,39355.3,2023-03-16 14:29:03
230,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,50550.0,-1387.0,-2.670543158056877,961458.0,16.97,220.7,-246.15000000000003,-52.72571489771876,856700.0,142000.0,50.0,220.5,50.0,220.9,39355.3,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,225951.0,81010.0,55.89170766035835,10623069.0,10.76,21.65,-25.5,-54.08271474019089,7925100.0,597575.0,200.0,21.6,750.0,21.65,39355.3,2023-03-16 14:29:03
