,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
161,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,93853.0,59214.0,170.94604347700567,8845000.0,17.12,1.55,-55.45,-97.28070175438596,4008750.0,481350.0,2700.0,1.5,6325.0,1.55,39231.8,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,5718.0,4552.0,390.39451114922815,1271324.0,0.0,704.4,220.35,45.52215680198326,426900.0,28650.0,25.0,700.35,50.0,702.7,39231.8,2023-03-16 14:41:02
172,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,145023.0,104291.0,256.0419326328194,11957421.0,15.61,1.75,-70.5,-97.57785467128028,3471250.0,761500.0,8300.0,1.7,8950.0,1.75,39231.8,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,7802.0,5916.0,313.6797454931071,2679874.0,0.0,601.4,180.75,42.96921431118507,493725.0,32675.0,25.0,600.35,50.0,602.0,39231.8,2023-03-16 14:41:02
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,164719.0,107421.0,187.4777479144124,12929056.0,14.18,2.1,-92.25,-97.77424483306837,2701125.0,746850.0,4500.0,2.1,1675.0,2.15,39231.8,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,21465.0,15804.0,279.1732909379968,5162132.0,0.0,502.1,157.60000000000002,45.747460087082736,1023150.0,40625.0,25.0,500.8,50.0,502.1,39231.8,2023-03-16 14:41:02
185,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,148236.0,108758.0,275.4901464106591,11713902.0,12.85,3.1,-120.35,-97.4888618874038,2900450.0,633350.0,2875.0,3.05,350.0,3.1,39231.8,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,28333.0,15408.0,119.21083172147002,7569117.0,0.0,403.25,128.89999999999998,46.983779843265886,1990800.0,56125.0,25.0,401.55,25.0,402.65,39231.8,2023-03-16 14:41:02
188,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,275764.0,168225.0,156.43162015640837,14430305.0,12.0,5.4,-155.29999999999998,-96.63970130678284,3754450.0,1095675.0,875.0,5.4,925.0,5.45,39231.8,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,95889.0,43573.0,83.28809542013916,15603622.0,0.0,305.05,91.35000000000002,42.74684136640151,3435250.0,162275.0,125.0,304.5,50.0,305.4,39231.8,2023-03-16 14:41:02
202,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,139409.0,107281.0,333.91745517928285,6800600.0,11.34,12.15,-184.1,-93.80891719745222,2331275.0,461425.0,200.0,12.2,375.0,12.25,39231.8,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,48117.0,12633.0,35.60196144741292,12054464.0,7.62,211.95,41.14999999999998,24.092505854800923,3775400.0,101175.0,100.0,211.35,50.0,212.05,39231.8,2023-03-16 14:41:02
209,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,160905.0,122766.0,321.89097773932195,5043736.0,11.01,30.7,-210.95,-87.29567556383199,1791300.0,644050.0,75.0,30.65,75.0,30.75,39231.8,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,99149.0,41296.0,71.3809136950547,14025046.0,8.78,130.75,-0.8000000000000114,-0.608133789433684,4570825.0,317975.0,175.0,130.25,75.0,130.75,39231.8,2023-03-16 14:41:02
217,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,95831.0,67610.0,239.5733673505545,2665552.0,11.0,67.75,-234.65,-77.59589947089947,1671050.0,301925.0,175.0,67.7,50.0,67.9,39231.8,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,132297.0,43992.0,49.818243587565824,12703731.0,9.38,68.5,-25.3,-26.972281449893387,5388325.0,465350.0,150.0,68.2,50.0,68.35,39231.8,2023-03-16 14:41:02
224,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,42399.0,18452.0,77.05349313066355,1193143.0,11.12,131.25,-244.4,-65.06056169306535,958575.0,111375.0,25.0,130.7,25.0,131.0,39231.8,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,167004.0,90650.0,118.72331508499882,10081496.0,9.53,30.5,-36.5,-54.47761194029851,6484325.0,537475.0,175.0,30.4,200.0,30.55,39231.8,2023-03-16 14:41:02
230,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,56613.0,4676.0,9.003215434083602,1151538.0,11.93,213.1,-253.75000000000003,-54.35364678162152,844000.0,104025.0,100.0,212.55,25.0,213.0,39231.8,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,255064.0,110123.0,75.97781166129667,12112008.0,9.8,13.6,-33.55,-71.15588547189819,7862050.0,894700.0,925.0,13.5,650.0,13.6,39231.8,2023-03-16 14:41:02
