,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
143,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,34639.0,0.0,0.0,120523.0,30.75,56.45,-0.5499999999999972,-0.9649122807017494,1969850.0,97175.0,125.0,56.15,25.0,56.45,38878.8,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,1166.0,0.0,0.0,8779.0,0.0,452.15,-31.90000000000004,-6.590228282202258,132025.0,20225.0,125.0,450.5,25.0,452.1,38878.8,2023-03-16 09:20:02
152,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,40732.0,0.0,0.0,105452.0,30.4,94.8,22.55,31.211072664359857,1992700.0,115325.0,125.0,94.45,75.0,94.8,38878.8,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,1886.0,0.0,0.0,19853.0,0.0,374.75,-45.89999999999998,-10.911684298110062,309775.0,26450.0,75.0,373.95,25.0,375.9,38878.8,2023-03-16 09:20:02
155,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,57298.0,0.0,0.0,160935.0,31.14,128.05,33.70000000000002,35.71807101218868,1264850.0,174425.0,375.0,127.4,75.0,127.7,38878.8,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,5661.0,0.0,0.0,34941.0,0.0,236.95,-107.55,-31.21915820029028,486050.0,52200.0,100.0,237.15,25.0,237.75,38878.8,2023-03-16 09:20:02
167,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,39478.0,0.0,0.0,171658.0,31.92,169.7,46.24999999999999,37.464560550830285,1007750.0,199150.0,50.0,169.35,75.0,169.7,38878.8,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,12925.0,0.0,0.0,95625.0,6.96,180.0,-94.35000000000002,-34.39037725533079,566950.0,62200.0,125.0,179.25,25.0,179.75,38878.8,2023-03-16 09:20:02
169,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,107539.0,0.0,0.0,230910.0,33.31,223.25,62.55000000000001,38.92345986309896,1146525.0,267475.0,125.0,223.25,75.0,223.65,38878.8,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,52316.0,0.0,0.0,181057.0,11.22,133.9,-79.79999999999998,-37.34206832007487,2098550.0,164000.0,25.0,133.65,25.0,134.0,38878.8,2023-03-16 09:20:02
180,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,32128.0,0.0,0.0,79113.0,34.85,285.05,88.80000000000001,45.248407643312106,952300.0,96850.0,1225.0,285.0,25.0,285.25,38878.8,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,35484.0,0.0,0.0,115083.0,13.2,95.8,-75.00000000000001,-43.91100702576113,1034625.0,117600.0,150.0,95.7,50.0,95.9,38878.8,2023-03-16 09:20:02
190,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,38139.0,0.0,0.0,74944.0,36.73,298.35,56.70000000000002,23.463687150837995,296950.0,85725.0,125.0,297.6,50.0,298.85,38878.8,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,57853.0,0.0,0.0,145372.0,14.67,94.65,-36.900000000000006,-28.05017103762828,2054900.0,131825.0,75.0,94.35,25.0,94.7,38878.8,2023-03-16 09:20:02
197,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,28221.0,0.0,0.0,36210.0,39.51,367.05,64.65000000000003,21.378968253968267,746200.0,52125.0,25.0,365.8,25.0,366.5,38878.8,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,88305.0,0.0,0.0,143199.0,15.67,67.35,-26.450000000000003,-28.198294243070364,2581925.0,122900.0,50.0,67.4,25.0,67.65,38878.8,2023-03-16 09:20:02
204,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,23947.0,0.0,0.0,14370.0,42.58,521.55,145.89999999999998,38.83934513509916,356125.0,33925.0,25.0,521.2,25.0,522.3,38878.8,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,76354.0,0.0,0.0,91154.0,16.72,32.2,-34.8,-51.94029850746268,3007400.0,161275.0,75.0,32.2,975.0,32.3,38878.8,2023-03-16 09:20:02
209,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,51937.0,0.0,0.0,20186.0,45.24,612.3,145.44999999999993,31.155617436007265,124750.0,46975.0,50.0,612.0,25.0,612.4,38878.8,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,144941.0,0.0,0.0,193840.0,17.87,22.6,-24.55,-52.067868504772,4723850.0,285750.0,1625.0,22.55,100.0,22.65,38878.8,2023-03-16 09:20:02
213,39600,16-Mar-2023,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39600.00,20660.0,0.0,0.0,7283.0,49.02,627.6,80.25,14.66155110989312,151925.0,18650.0,25.0,626.65,25.0,627.85,38878.8,39600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39600.00,96322.0,0.0,0.0,131997.0,18.97,23.05,-10.8,-31.90546528803545,2173600.0,130925.0,500.0,23.05,800.0,23.15,38878.8,2023-03-16 09:20:02
