,strikePrice,expiryDate,PE.strikePrice,PE.expiryDate,PE.underlying,PE.identifier,PE.openInterest,PE.changeinOpenInterest,PE.pchangeinOpenInterest,PE.totalTradedVolume,PE.impliedVolatility,PE.lastPrice,PE.change,PE.pChange,PE.totalBuyQuantity,PE.totalSellQuantity,PE.bidQty,PE.bidprice,PE.askQty,PE.askPrice,PE.underlyingValue,CE.strikePrice,CE.expiryDate,CE.underlying,CE.identifier,CE.openInterest,CE.changeinOpenInterest,CE.pchangeinOpenInterest,CE.totalTradedVolume,CE.impliedVolatility,CE.lastPrice,CE.change,CE.pChange,CE.totalBuyQuantity,CE.totalSellQuantity,CE.bidQty,CE.bidprice,CE.askQty,CE.askPrice,CE.underlyingValue,current_time
161,38600,16-Mar-2023,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38600.00,84914.0,50275.0,145.13987124339616,9068722.0,12.82,1.05,-55.95,-98.15789473684212,3633800.0,380250.0,10100.0,1.0,1225.0,1.05,39056.3,38600.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38600.00,5548.0,4382.0,375.8147512864494,1282689.0,11.79,514.95,30.90000000000004,6.383638053920057,320875.0,25625.0,50.0,505.85,25.0,507.3,39056.3,2023-03-16 14:58:03
172,38700,16-Mar-2023,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38700.00,129633.0,88901.0,218.2583717961308,12330078.0,11.23,1.4,-70.85,-98.06228373702422,3419100.0,633900.0,450.0,1.4,7375.0,1.45,39056.3,38700.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38700.00,7966.0,6080.0,322.37539766702014,2706233.0,0.0,406.2,-14.449999999999989,-3.435159871627241,382775.0,36400.0,25.0,405.3,75.0,406.75,39056.3,2023-03-16 14:58:03
173,38800,16-Mar-2023,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38800.00,153611.0,96313.0,168.09138189814652,13495182.0,9.66,2.55,-91.8,-97.2972972972973,2607550.0,674775.0,725.0,2.55,2250.0,2.6,39056.3,38800.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38800.00,19073.0,13412.0,236.91927221338983,5227227.0,9.39,300.85,-43.64999999999998,-12.670537010159643,967950.0,38700.0,75.0,298.75,75.0,299.85,39056.3,2023-03-16 14:58:03
185,38900,16-Mar-2023,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE38900.00,163784.0,124306.0,314.874107097624,12731645.0,8.36,5.55,-117.9,-95.50425273390036,2771625.0,643825.0,50.0,5.5,700.0,5.55,39056.3,38900.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE38900.00,26990.0,14065.0,108.8201160541586,7685464.0,0.0,208.75,-65.60000000000002,-23.911062511390565,1923900.0,52250.0,25.0,208.3,50.0,208.9,39056.3,2023-03-16 14:58:03
188,39000,16-Mar-2023,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39000.00,281522.0,173983.0,161.78595672267735,16652173.0,7.47,19.05,-141.64999999999998,-88.14561294337273,3770375.0,1130200.0,75.0,18.85,300.0,19.05,39056.3,39000.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39000.00,96770.0,44454.0,84.97209266763514,16150055.0,7.36,115.8,-97.9,-45.811885821244736,3345100.0,228800.0,50.0,115.8,225.0,116.55,39056.3,2023-03-16 14:58:03
202,39100,16-Mar-2023,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39100.00,109454.0,77326.0,240.68102589641435,8647775.0,6.98,51.6,-144.65,-73.70700636942675,2409950.0,372650.0,100.0,51.55,350.0,51.7,39056.3,39100.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39100.00,96403.0,60919.0,171.68019389020404,12957674.0,6.51,53.85,-116.95000000000002,-68.47189695550352,3733975.0,261900.0,225.0,53.6,25.0,53.85,39056.3,2023-03-16 14:58:03
209,39200,16-Mar-2023,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39200.00,90461.0,52322.0,137.18765568053698,6722181.0,6.89,110.5,-131.15,-54.2727084626526,1527025.0,198875.0,50.0,110.45,25.0,110.8,39056.3,39200.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39200.00,168699.0,110846.0,191.5993984754464,15849516.0,6.63,17.8,-113.75,-86.46902318510072,4192475.0,769925.0,275.0,17.6,525.0,17.8,39056.3,2023-03-16 14:58:03
217,39300,16-Mar-2023,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39300.00,47798.0,19577.0,69.37032706140818,3582006.0,7.19,197.75,-104.64999999999998,-34.606481481481474,1390675.0,107225.0,400.0,197.7,100.0,198.25,39056.3,39300.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39300.00,176893.0,88588.0,100.32048015401166,14869795.0,6.66,5.0,-88.8,-94.66950959488273,5066950.0,670475.0,825.0,4.95,875.0,5.0,39056.3,2023-03-16 14:58:03
224,39400,16-Mar-2023,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39400.00,29794.0,5847.0,24.41641959326847,1511384.0,8.29,303.8,-71.84999999999997,-19.12684679888193,751575.0,56200.0,50.0,304.85,175.0,305.7,39056.3,39400.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39400.00,141849.0,65495.0,85.77808628231658,11587836.0,7.57,2.1,-64.9,-96.86567164179104,5925000.0,604525.0,11200.0,2.05,8325.0,2.1,39056.3,2023-03-16 14:58:03
230,39500,16-Mar-2023,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023PE39500.00,45956.0,-5981.0,-11.515875002406762,1332538.0,10.62,400.0,-66.85000000000002,-14.319374531434084,774225.0,70650.0,1050.0,400.0,50.0,400.65,39056.3,39500.0,16-Mar-2023,BANKNIFTY,OPTIDXBANKNIFTY16-03-2023CE39500.00,205260.0,60319.0,41.61624385094625,13378575.0,8.83,1.3,-45.85,-97.24284199363731,7669425.0,966425.0,33425.0,1.3,48875.0,1.35,39056.3,2023-03-16 14:58:03
